context_id,context,question_en,answer_en,question_ta,answer_ta,question_si,answer_si,question_id
8-45-563-6,"Service: Obtaining Permits for Transporting Timber
Main Category: Agriculture, Livestock & Fisheries
Subcategory: Permits & Licenses
Topic: සීමාවලට යටත් වන ගස් (Part 2), සේවය සඳහා ගෙවීම සහ වගකීම
---
සටහන
කලින් කලට ,දිස්ත්‍රික්කයෙන් දිස්ත්‍රික්කයට වෙනස්විය හැකිය.
කොටස් ගාන ලද දැව අලූත් ලී බඩු ජනෙල් රාමු ජනෙල් දොරවල් දොර රාමු, දොරවල් වැනි සීමාවලට යටත් නොවන දැව ප්‍රවාහනය සඳහා බලපත්‍ර ප්‍රාදේශීය ලේකම් කාර්ය්‍යල වලින් ලබා ගත හැකිය.

සේවය සඳහා ගෙවීම
දැව ප්රවාහන ගාස්තු ප්‍රවාහනය කරන වාහනය අනුව වෙනස් වේ.
කර තබා ප්‍රවාහනය සඳහා ගාස්තු නොමැත.
කරත්ත සඳහා රුපියල් 150
අත් ට්‍රැක්ටරය රුපියල් 150
ට්‍රැක්කටර් රුපියල් 150
ලොරි රුපියල් 150

සේවය සඳහා වගකීම
තනතුර අංශයේ නම
ප්‍රාදේශීය ලේකම් අදාළ ප්‍රාදේශීය ලේකම් කාර්ය්යලය
ග්‍රාම නිලධාරී අදාල ග්‍රාම නිලධාරී කොට්ඨාශය","What are the fees for obtaining a permit to transport timber using various types of vehicles, and which mode of transport is exempt from charges?","The fees vary by vehicle: LKR 150 for carts, hand tractors, tractors, and lorries. Transporting timber as a headload is exempt from any charges.","மரக்கட்டைகளை வெவ்வேறு வகையான வாகனங்களைப் பயன்படுத்தி கொண்டு செல்வதற்கான அனுமதிப்பத்திரத்திற்கான கட்டணங்கள் என்ன, மேலும் எந்த போக்குவரத்து முறைக்கு கட்டணங்கள் இல்லை?","வண்டிகளுக்கு ரூபாய் 150, கையால் இயக்கும் டிராக்டருக்கு ரூபாய் 150, டிராக்டருக்கு ரூபாய் 150, மற்றும் லாரிக்கு ரூபாய் 150 என வாகனத்தைப் பொறுத்து கட்டணங்கள் மாறுபடும். தலையில் சுமந்து கொண்டு செல்லும் மரக்கட்டைகளுக்கு எந்தக் கட்டணமும் இல்லை.","විවිධ වර්ගයේ වාහන භාවිතයෙන් දැව ප්‍රවාහනය සඳහා බලපත්‍රයක් ලබා ගැනීමේ ගාස්තු මොනවාද, සහ කුමන ප්‍රවාහන ක්‍රමයක් ගාස්තු වලින් නිදහස්ද?","කරත්ත සඳහා රුපියල් 150ක්, අත් ට්‍රැක්ටරය සඳහා රුපියල් 150ක්, ට්‍රැක්ටරය සඳහා රුපියල් 150ක් සහ ලොරි සඳහා රුපියල් 150ක් ලෙස වාහනය අනුව ගාස්තු වෙනස් වේ. කර තබා ප්‍රවාහනය සඳහා ගාස්තු නොමැත.",29
8-47-1264-2,"Service: HORDI-Horticultural crops:Advisory Services to solve farmers problem
Main Category: Agriculture, Livestock & Fisheries
Subcategory: Agriculture, Livestock & Fisheries Development
Topic: Service and Contact Information (Part 1)
---
Services | Station | Contact Person | Address & Tel/Fax
--- | --- | --- | ---
Cultivation of major vegetables and hybrid development | Vegetable Division, HORDI | Head of vegetable Division/ Research Officer | Director, Horticultural Crop Research & Development Institute (HORDI), Gannoruwa, Peradeniya Tel.081-2388011-12-13 Fax.081-2388234
Fruit cultivation, new fruit varieties and nutrient management of fruit crops | Fruit Division, HORDI | Head of Fruit Division/ Research Officer | -do-
Pest-related problems in horticultural crops | Entomology Division, HORDI | Head of Entomology Division/ Research Officer | -do-
Plant diseases diagnosis | Pathology Division, HORDI | Head of Pathology Division/ Research Officer | -do-
Mushroom cultivation and related activities | Mushroom Division, HORDI | Head of Mushroom Division/ Research Officer | -do-
Plant tissue culture, TC lab establishment | Tissue culture Division, HORDI | Head of the Tissue Culture Division/ Research Officer | -do-
Food processing & post harvest technology | Fruit Division, HORDI | Head of Fruit Division/ Research Officer | -do-",What types of advisory services are provided by the Horticultural Crop Research & Development Institute (HORDI) to address farmers' problems?,"The Horticultural Crop Research & Development Institute (HORDI) offers advisory services including cultivation of major vegetables and hybrid development, fruit cultivation and nutrient management, pest problem resolution, plant disease diagnosis, mushroom cultivation, plant tissue culture, and food processing & post-harvest technology.",விவசாயிகளின் பிரச்சினைகளைத் தீர்க்க தோட்டக்கலை பயிர் ஆராய்ச்சி மற்றும் மேம்பாட்டு நிறுவனம் (HORDI) வழங்கும் ஆலோசனை சேவைகள் யாவை?,"தோட்டக்கலை பயிர் ஆராய்ச்சி மற்றும் மேம்பாட்டு நிறுவனம் (HORDI) பிரதான காய்கறி சாகுபடி மற்றும் கலப்பின வளர்ச்சி, பழ சாகுபடி மற்றும் ஊட்டச்சத்து மேலாண்மை, பூச்சி தொடர்பான பிரச்சினைகளுக்குத் தீர்வு, தாவர நோய் கண்டறிதல், காளான் சாகுபடி, தாவர திசு வளர்ப்பு மற்றும் உணவு பதப்படுத்துதல் & அறுவடைக்குப் பிந்தைய தொழில்நுட்பம் போன்ற ஆலோசனை சேவைகளை வழங்குகிறது.",ගොවීන්ගේ ගැටළු විසඳීම සඳහා උද්‍යාන භෝග පර්යේෂණ හා සංවර්ධන ආයතනය (HORDI) විසින් සපයනු ලබන උපදේශන සේවා වර්ග මොනවාද?,"උද්‍යාන භෝග පර්යේෂණ හා සංවර්ධන ආයතනය (HORDI) ප්‍රධාන එළවළු වගාව සහ දෙමුහුන් සංවර්ධනය, පලතුරු වගාව සහ පෝෂක කළමනාකරණය, පළිබෝධ ගැටළු නිරාකරණය, ශාක රෝග හඳුනාගැනීම, හතු වගාව, ශාක පටක රෝපණය සහ ආහාර සැකසීම සහ පශ්චාත් අස්වනු තාක්ෂණය ඇතුළු උපදේශන සේවා සපයයි.",30
8-47-1284-1,"Service: SCPPC:  Issuance of import permits to import plant, planting material and plant products
Main Category: Agriculture, Livestock & Fisheries
Subcategory: Agriculture, Livestock & Fisheries Development
Topic: Eligibility, Application Process and Fees for Import Permits
---
Eligibility: Who imports these items should obtain permits by law.

Process of submitting applications: Applications can be collected from National Plant Quarantine Service (NPQS) Canada Friendship Road Katunayake or downloaded from the NPQS website.

Applications with required document can be sent to [importpermits@gmail.com](mailto:importpermits@gmail.com) , /by post or by hand to Additional Director, National Plant Quarantine Service (NPQS) Canada Friendship Road Katunayake.

Fees payable to obtain application form: Free of charge

Time taken from submitting the application to the issuance of import permit: For complete applications related or regularly importing plant commodities importing from regularly importing countries – about one week.

For new plant commodities/ importing form new country-vary with the time taken for pestRisk Assessment process/receiving no objection from other institutes.

Fees payable to obtain the service: Free of charge

Time of supplying the service: From 8.30 a.m. to 4.15 p.m. on week days excluding public holidays.","What are the fees associated with obtaining an import permit for plant products, and where can one collect the application form?","Both the application form and the service for issuing import permits to import plant, planting material, and plant products are free of charge. Applications can be collected from the National Plant Quarantine Service (NPQS) Canada Friendship Road Katunayake or downloaded from the NPQS website.","தாவரப் பொருட்கள் இறக்குமதி அனுமதிப்பத்திரத்தைப் பெறுவதற்கான கட்டணங்கள் என்ன, விண்ணப்பப் படிவத்தை எங்கிருந்து பெறலாம்?","தாவரங்கள், நடவுப் பொருட்கள் மற்றும் தாவரப் பொருட்கள் இறக்குமதி அனுமதிப்பத்திரத்தைப் பெறுவதற்கான விண்ணப்பப் படிவமும் சேவையும் இலவசம். விண்ணப்பங்களை தேசிய தாவர தனிமைப்படுத்தல் சேவை (NPQS) கனடா நட்பு சாலை கட்டுநாயக்காவிலிருந்து பெறலாம் அல்லது NPQS இணையதளத்திலிருந்து பதிவிறக்கம் செய்யலாம்.","ශාක නිෂ්පාදන ආනයන බලපත්‍රයක් ලබා ගැනීම සඳහා වන ගාස්තු මොනවාද, සහ අයදුම්පත්‍රය ලබා ගත හැක්කේ කොතැනින්ද?","ශාක, රෝපණ ද්‍රව්‍ය සහ ශාක නිෂ්පාදන ආනයන බලපත්‍ර නිකුත් කිරීම සඳහා අයදුම්පත්‍රය සහ සේවාව යන දෙකම නොමිලේ. අයදුම්පත් ජාතික ශාක නිරෝධායන සේවාව (NPQS) කැනඩා මිත්‍රත්ව මාර්ගය, කටුනායකින් ලබාගත හැකිය, නැතහොත් NPQS වෙබ් අඩවියෙන් බාගත කළ හැකිය.",31
8-47-1206-1,"Service: skilled labour to Entrepreneurs
Main Category: Agriculture, Livestock & Fisheries
Subcategory: Agriculture, Livestock & Fisheries Development
Topic: Obtaining Mahaweli Skilled Labour: Qualifications and Application Procedure
---
How to obtain Mahaweli skilled labour to Entrepreneurs? Business Development Division 01 Qualifications Capability and willingness to engage in an investment project 02 Procedure of submitting the application (Where to get, Handover the application, counter a time) Forward the bio data of the applicant to the RPM in relevant project 03 Fee for the application None 04 Time for submission of application 8.30am to 4.00pm on working days 05 Time duration to get the service (Normal & Priority Services) 06 Relevant Documents Certified documents regarding the permanent residence of the applicant 07 Special Information None Staff Officers responsible for the service Director Business Development 011-2683038/011-2699220

Business Development Manager Business Development 011-2695987/011-2699220

Resident Project Manager System H 025-2276214/025-2276877/025-2276328

Business Development Manager System H 025-2276214 / 025-2276877 / 025-2276328

Resident Project Manager System B 027-2259423 / 027-2259065 rpmb@eureka.lk

Resident Project Manager System C 027-2250119 / 027-2250173 / 027-2250119 pmc@sltnet.lk

Business Development Manager System C 027-2250119 / 027-2250173 / 027-2250119 rpmc@sltnet.lk

Resident Project Manager UW 047-2230013 / 047-2230201

Business Development Manager UW 047-2230013 / 047-2230201",What are the qualifications required for entrepreneurs to obtain Mahaweli skilled labour?,Entrepreneurs need to have the capability and willingness to engage in an investment project to obtain Mahaweli skilled labour.,தொழில்முனைவோர் மகாவலி திறமையான தொழிலாளர்களைப் பெறுவதற்கு என்ன தகுதிகள் தேவை?,தொழில்முனைவோருக்கு மகாவலி திறமையான தொழிலாளர்களைப் பெறுவதற்கு ஒரு முதலீட்டுத் திட்டத்தில் ஈடுபடும் திறன் மற்றும் விருப்பம் தேவை.,ව්‍යවසායකයින්ට මහවැලි නිපුණ ශ්‍රමය ලබා ගැනීමට අවශ්‍ය සුදුසුකම් මොනවාද?,ව්‍යවසායකයින්ට මහවැලි නිපුණ ශ්‍රමය ලබා ගැනීමට ආයෝජන ව්‍යාපෘතියක නිරත වීමට හැකියාව සහ කැමැත්ත තිබිය යුතුය.,32
8-48-1563-1,"Service: Obtaing a Farmer Training Program on EAC
Main Category: Agriculture, Livestock & Fisheries
Subcategory: Training & Extension Services
Topic: Eligibility and Nature of Farmer Training Program on EAC
---
Who can apply: Farmers, Farmer Groups and Community Based Organizations who are interested in solving field problems in cultivation, processing and marketing of EAC such as Cinnamon, Pepper, Coffee, Cocoa etc.

Nature of the Service: Farmer training is given either in farmer fields or as a group class. Type of training is decided by mutual discussion of trainers and Farmers. Extension Officers or Research and Development Assistants conduct the classes.Training is given on soil conservation, crop establishment, shade control, pest disease control, fertillizer application etc. for EAC.",Who is eligible to apply for the Farmer Training Program on Export Agriculture Crops (EAC)?,"Farmers, Farmer Groups, and Community Based Organizations who are interested in solving field problems related to the cultivation, processing, and marketing of EAC such as Cinnamon, Pepper, Coffee, and Cocoa are eligible to apply.",ஏற்றுமதி விவசாயப் பயிர்கள் (EAC) தொடர்பான விவசாயப் பயிற்சித் திட்டத்திற்கு விண்ணப்பிக்க யார் தகுதியானவர்கள்?,"இலவங்கப்பட்டை, மிளகு, காபி, கொக்கோ போன்ற ஏற்றுமதி விவசாயப் பயிர்களை சாகுபடி செய்தல், பதப்படுத்துதல் மற்றும் சந்தைப்படுத்துதல் ஆகியவற்றில் உள்ள களப் பிரச்சினைகளைத் தீர்க்க ஆர்வமுள்ள விவசாயிகள், விவசாயக் குழுக்கள் மற்றும் சமூக அடிப்படையிலான நிறுவனங்கள் விண்ணப்பிக்கத் தகுதியுடையவர்கள்.",අපනයන කෘෂිකාර්මික භෝග (EAC) පිළිබඳ ගොවි පුහුණු වැඩසටහන සඳහා අයදුම් කිරීමට සුදුසුකම් ලබන්නේ කවුද?,"කුරුඳු, ගම්මිරිස්, කෝපි, කොකෝවා වැනි අපනයන කෘෂිකාර්මික භෝග (EAC) වගා කිරීම, සැකසීම සහ අලෙවිකරණය සම්බන්ධ ක්ෂේත්‍ර ගැටළු විසඳීමට උනන්දුවක් දක්වන ගොවීන්ට, ගොවි කණ්ඩායම්වලට සහ ප්‍රජා පදනම් වූ සංවිධානවලට අයදුම් කළ හැකිය.",33
8-44-1327-3,"Service: SCPPC-Pesticides: Certification for Pesticides dealers
Main Category: Agriculture, Livestock & Fisheries
Subcategory: Approval & Registration
Topic: Staff Officers in Charge
---
Staff officer in charge of the service



Deputy Director of Agriculture (Authorised Officer)   /Assistant Director of Agriculture, Agriculture Instructor, Deputy Director   of Agriculture Office, in relevant area.

---
Residential Project Manager / Deputy Residential Project   Manager (authorized Officer) / Agriculture Officer, Sri Lanka Mahaweli   Authority Office of the relevant area
For Field Coordination – Agriculture Instructor, Mr R.A.   Jayantha, Office of the Registrar of Pesticides, P.O.Box 49, No 1056,   Gatambe, Peradeniya. (081-2388076, Tele/Fax: 081-2388135
Head of Centre: registrar of Pesticides – Dr. G.A.W.   Wijesekara, Office of the Registrar of Pesticides, P.O. Box. 49, No 1056,   Gatambe, Peradeniya. (081-2388076, Tele/Fax: 081-23881350","Who is the Head of Centre for the ""Certification for Pesticides dealers"" service?","The Head of Centre for this service is the Registrar of Pesticides, Dr. G.A.W. Wijesekara, located at the Office of the Registrar of Pesticides, P.O. Box 49, No 1056, Gatambe, Peradeniya.",“பூச்சிக்கொல்லி மருந்து விற்பனையாளர்களுக்கான சான்றிதழ்” சேவைக்கான மையத்தின் தலைவர் யார்?,"இச்சேவைக்கான மையத்தின் தலைவர் பூச்சிக்கொல்லி மருந்துகளின் பதிவாளர், டாக்டர் ஜி.ஏ.டபிள்யூ. விஜேசேகர ஆவார். அவரது அலுவலகம் பூச்சிக்கொல்லி மருந்துகளின் பதிவாளர் அலுவலகம், த.பெ.எண். 49, எண் 1056, கடம்பே, பேராதனை என்ற முகவரியில் அமைந்துள்ளது.",“පළිබෝධනාශක අලෙවිකරුවන් සඳහා සහතික කිරීම” සේවාවෙහි මධ්‍යස්ථානයේ ප්‍රධානියා කවුද?,"මෙම සේවාවෙහි මධ්‍යස්ථානයේ ප්‍රධානියා වන්නේ පළිබෝධනාශක ලේඛකාධිකාරී, ආචාර්ය ජී.ඒ.ඩබ්ලිව්. විජේසේකර මහතාය. ඔහුගේ කාර්යාලය පළිබෝධනාශක ලේඛකාධිකාරී කාර්යාලය, තැ.පෙ. 49, අංක 1056, ගටඹේ, පේරාදෙණිය හි පිහිටා ඇත.",34
8-47-1770-1,"Service: 03.Approval for importation of meat and meat products
Main Category: Agriculture, Livestock & Fisheries
Subcategory: Agriculture, Livestock & Fisheries Development
Topic: Import Requirements for Meat and Meat Products (Part 1)
---
Applications for importing meat (excluding poultry) are available at www.daph.gov.lk, Veterinary Regulatory Affairs Division, Department of Animal Production and Health, Peradeniya. The application is free of charge and can be submitted from 8.30 a.m to 4.15 p.m. on weekdays. There are no service charges. The service duration is 0-3 working days. Required documents for importation include: Application form, Proforma invoice, Processing procedure of the product (for processed meat), Copy of the HACCP certificate of the processing plant (for processed meat), Microbiological test report (as per Cordex alimentarius guidelines), and a copy of the Registration Certificate of the establishment/plant at the local government.
",What is the service duration for obtaining approval for the importation of meat and meat products (excluding poultry)?,The service duration for obtaining approval for the importation of meat and meat products (excluding poultry) is 0-3 working days.,இறைச்சி மற்றும் இறைச்சிப் பொருட்களை (கோழி இறைச்சியைத் தவிர) இறக்குமதி செய்வதற்கான ஒப்புதலைப் பெறுவதற்கான சேவை கால அளவு என்ன?,இறைச்சி மற்றும் இறைச்சிப் பொருட்களை (கோழி இறைச்சியைத் தவிர) இறக்குமதி செய்வதற்கான ஒப்புதலைப் பெறுவதற்கான சேவை கால அளவு 0-3 வேலை நாட்கள் ஆகும்.,මස් සහ මස් නිෂ්පාදන (කුකුළු මස් හැර) ආනයනය සඳහා අනුමැතිය ලබා ගැනීම සඳහා සේවා කාලය කොපමණද?,මස් සහ මස් නිෂ්පාදන (කුකුළු මස් හැර) ආනයනය සඳහා අනුමැතිය ලබා ගැනීම සඳහා සේවා කාලය වැඩ කරන දින 0-3 කි.,35
8-47-1344-1,"Service: ICC- Providing training on AV teaching aids and presentation technology
Main Category: Agriculture, Livestock & Fisheries
Subcategory: Agriculture, Livestock & Fisheries Development
Topic: Eligibility and Application Process for Training and Presentations
---
Eligibility Officer groups in agriculture and non agriculture who conduct training and presentations

Process of application Request by letter to Director (NAICC), Department of Agriculture, Peradeniya. Training will be arranged on demand

Fees payable to obtain the service Government rates. Contact National Agriculture Information and Communication Centre for more details.

Time required Depend on the demand and availability of resource persons. Staff officers in charge of the services Director (Information & Communication), Mr. W. L. Hiran Peiris",Who is eligible for the training on AV teaching aids and presentation technology?,Officer groups in agriculture and non-agriculture who conduct training and presentations are eligible.,AV கற்பித்தல் உதவி உபகரணங்கள் மற்றும் விளக்கக்காட்சி தொழில்நுட்பம் குறித்த பயிற்சிக்கு யார் தகுதியானவர்கள்?,பயிற்சி மற்றும் விளக்கக்காட்சிகளை நடத்தும் விவசாயம் மற்றும் விவசாயம் அல்லாத அதிகாரி குழுக்கள் தகுதியானவர்கள்.,AV ඉගැන්වීම් ආධාරක සහ ඉදිරිපත් කිරීමේ තාක්ෂණය පිළිබඳ පුහුණුව සඳහා සුදුසුකම් ලබන්නේ කවුද?,පුහුණුවීම් සහ ඉදිරිපත් කිරීම් පවත්වන කෘෂිකාර්මික සහ කෘෂිකාර්මික නොවන නිලධාරි කණ්ඩායම් සුදුසුකම් ලබයි.,36
8-47-1307-2,"Service: SCPPC-Plant Quarantine: Issuing phytosanitary certificate on agricultural commodities
Main Category: Agriculture, Livestock & Fisheries
Subcategory: Agriculture, Livestock & Fisheries Development
Topic: Contact Information for Plant Quarantine Stations
---
Place of service given Plant Quarantine Station-Airport, Bandarnayake International Airport, Katunayake. Fax /Tel. 011-2252575, 011/226395 Cargo Inspection room: 011/2263955 Passenger Terminal : 011/2264568 e-mail: [phytoquarantine@gmail.com](mailto:phytoquarantine@gmail.com)

Plant Quarantine Station-Airport, Maththala Address: Rajapaksha International Air Port, Maththala, Tel. 047-2031370, E-mail: [pqsmattala@gmail.com](mailto:pqsmattala@gmail.com)

Plant Quarantine Station-Airport, Jaffna Address: Jaffna International Air Port, Palaly, Tel. 076 2901986, E-mail: [sumitharmarasa@yahoo.com](mailto:sumitharmarasa@yahoo.com)",What is the main service offered by SCPPC-Plant Quarantine and where are its airport stations located in Sri Lanka?,"The main service offered is 'Issuing phytosanitary certificate on agricultural commodities'. Its airport stations are located at Bandarnayake International Airport (Katunayake), Rajapaksha International Air Port (Maththala), and Jaffna International Air Port (Palaly).","SCPPC-தாவர தனிமைப்படுத்தல் வழங்கும் முக்கிய சேவை என்ன, இலங்கையில் அதன் விமான நிலைய நிலையங்கள் எங்கு அமைந்துள்ளன?","முக்கிய சேவை 'வேளாண் பொருட்களுக்கான தாவர சுகாதார சான்றிதழ் வழங்குதல்' ஆகும். அதன் விமான நிலைய நிலையங்கள் பண்டாரநாயக்க சர்வதேச விமான நிலையம் (கட்டுநாயக்க), ராஜபக்ஷ சர்வதேச விமான நிலையம் (மத்தள) மற்றும் யாழ்ப்பாண சர்வதேச விமான நிலையம் (பலாலி) ஆகிய இடங்களில் அமைந்துள்ளன.",SCPPC-ශාක නිරෝධායන මගින් සපයනු ලබන ප්‍රධාන සේවාව කුමක්ද සහ එහි ගුවන් තොටුපළ ස්ථාන ශ්‍රී ලංකාවේ පිහිටා ඇත්තේ කොහිද?,"ප්‍රධාන සේවාව වන්නේ 'කෘෂිකාර්මික භාණ්ඩ සඳහා ශාක සෞඛ්‍ය සහතිකය නිකුත් කිරීම' යි. එහි ගුවන් තොටුපළ ස්ථාන බණ්ඩාරනායක ජාත්‍යන්තර ගුවන් තොටුපළ (කටුනායක), රාජපක්ෂ ජාත්‍යන්තර ගුවන් තොටුපළ (මත්තල) සහ යාපනය ජාත්‍යන්තර ගුවන් තොටුපළ (පලාලි) යන ස්ථානවල පිහිටා ඇත.",37
8-44-929-2,"Service: Registration of Sellers of weights, Measures and weighing or Measuring Instruments
Main Category: Agriculture, Livestock & Fisheries
Subcategory: Approval & Registration
Topic: Step-by-Step Procedure and Timeline for License Issuance
---
Step-by-Step Procedure: Step 1: Applicant sends a request letter to the Department stating the need of an Application Form. Step 2: The Department receives the letter and sends the Application Form to the applicant. Step 3: Applicant fills Form and sends it to the Department along with a copy of the Business Registration Certificate. Step 4: Department Issues the license to the seller under registered cover.

Timeline Process Time Line By Post : 2 Weeks Physically coming to the Department: 4-7 Days

Obtaining Application Form:

Working days – Monday - Friday Counter open hours – 8.30 am to 4.15 pm Holidays – All Public and Mercantile Holidays

Submit Application Form: Working days – Monday to Friday Counter open hours – 8.30 am to 4.15 pm Holidays – All Public and Mercantile Holidays","What is the estimated timeline for receiving the license if an applicant submits their form by post for the 'Registration of Sellers of weights, Measures and weighing or Measuring Instruments' service?",The estimated timeline for receiving the license if an applicant submits their form by post is 2 weeks.,"எடைகள், அளவைகள் மற்றும் எடை அல்லது அளவிடும் கருவிகளின் விற்பனையாளர்களைப் பதிவு செய்தல் சேவைக்காக விண்ணப்பதாரர் தங்களின் படிவத்தை அஞ்சல் மூலம் சமர்ப்பித்தால் உரிமத்தைப் பெறுவதற்கான தோராயமான காலக்கெடு என்ன?","விண்ணப்பதாரர் தங்கள் படிவத்தை அஞ்சல் மூலம் சமர்ப்பித்தால், உரிமத்தைப் பெறுவதற்கான தோராயமான காலக்கெடு 2 வாரங்கள் ஆகும்.","බර, මිනුම් සහ කිරුම් හෝ මිනුම් උපකරණ අලෙවිකරුවන් ලියාපදිංචි කිරීම සේවාව සඳහා අයදුම්කරුවෙකු තැපෑලෙන් ඔවුන්ගේ අයදුම්පත්‍රය ඉදිරිපත් කරන්නේ නම්, බලපත්‍රය ලබා ගැනීමට ගතවන ආසන්න කාලය කොපමණද?","අයදුම්කරුවෙකු තැපෑලෙන් අයදුම්පත්‍රය ඉදිරිපත් කරන්නේ නම්, බලපත්‍රය ලබා ගැනීමට ගතවන ආසන්න කාලය සති 2 කි.",38
8-47-1893-1,"Service: Rubber Land Regisration
Main Category: Agriculture, Livestock & Fisheries
Subcategory: Agriculture, Livestock & Fisheries Development
Topic: Requirements for Rubber Plantation Ownership Registration
---
The following requirements must be met for registration of ownership of rubber plantations:

- Registration of ownership

1. Lands previously not registered under the Rubber Control Act

2. Should bare Rubber plantation

- Changes of ownership

Time of forwarding application

From 8.30am to 3.30pm on Working days by Handor Registered post to the Regional Office of the relevant district",What are the requirements for registering ownership of rubber plantations for lands not previously registered under the Rubber Control Act?,"For lands not previously registered under the Rubber Control Act, the requirements for ownership registration are that the land should not have been registered under the Act before and it must bare a rubber plantation.",ரப்பர் கட்டுப்பாட்டுச் சட்டத்தின் கீழ் முன்பு பதிவு செய்யப்படாத நிலங்களுக்கு ரப்பர் தோட்டங்களின் உரிமையை பதிவு செய்வதற்கான தேவைகள் என்ன?,"ரப்பர் கட்டுப்பாட்டுச் சட்டத்தின் கீழ் முன்பு பதிவு செய்யப்படாத நிலங்களுக்கு உரிமைப் பதிவு செய்ய, அந்த நிலங்கள் முன்பு அந்த சட்டத்தின் கீழ் பதிவு செய்யப்படாமல் இருக்க வேண்டும் மற்றும் அவை ரப்பர் தோட்டங்களைக் கொண்டிருக்க வேண்டும்.",රබර් පාලන පනත යටතේ පෙර ලියාපදිංචි කර නොමැති ඉඩම් සඳහා රබර් වගාවන්හි හිමිකාරිත්වය ලියාපදිංචි කිරීම සඳහා අවශ්‍යතා මොනවාද?,"රබර් පාලන පනත යටතේ පෙර ලියාපදිංචි කර නොමැති ඉඩම් සඳහා හිමිකාරිත්වය ලියාපදිංචි කිරීමට නම්, එම ඉඩම් පෙර පනත යටතේ ලියාපදිංචි කර නොතිබිය යුතු අතර, ඒවායේ රබර් වගාවක් තිබිය යුතුය.",39
8-47-1320-3,"Service: SCPPC-Seed Certification: Registration of seed production crops and certification of produced seeds
Main Category: Agriculture, Livestock & Fisheries
Subcategory: Agriculture, Livestock & Fisheries Development
Topic: Submission Time, Fees, Service Delivery and Contact Information
---
Time of submission the request During office hours

Fees for obtaining the service for paddy Rs 400/ per acre/season (as per the sliding scale approved) for other Field crops Rs 400/per - 1 acre/season/Lot for vegetables Rs 400/ per -1 acre/season/Lot for potato Rs 800/ per acre/season/Lot

Time taken to provide the service as per the process

Place of service given Seed Certification Service (SCS) PO Box 3, Gannoruwa, Peradeniya TP 081 2388217 email [scsdoa79@yahoo.com](mailto:scs@slt.lk)

Staff officer in charge of the service Deputy Director (SCS) Dr Mrs. R. Nanayakkara.",What is the fee for seed certification for potato crops?,The fee for seed certification for potato crops is Rs 800 per acre/season/Lot.,உருளைக்கிழங்கு பயிர்களுக்கான விதை சான்றளிப்பு கட்டணம் எவ்வளவு?,உருளைக்கிழங்கு பயிர்களுக்கான விதை சான்றளிப்பு கட்டணம் ஒரு ஏக்கர்/பருவம்/பகுதிக்கு ரூ 800 ஆகும்.,අර්තාපල් භෝග සඳහා බීජ සහතික කිරීමේ ගාස්තුව කීයද?,අර්තාපල් භෝග සඳහා බීජ සහතික කිරීමේ ගාස්තුව අක්කරයකට/කන්නයකට/කණ්ඩායමකට රුපියල් 800 කි.,40
8-44-1269-6,"Service: Grant approval to set up incentivised Investment Projects
Main Category: Agriculture, Livestock & Fisheries
Subcategory: Approval & Registration
Topic: Staff Contacts (Part 2)
---
4. | Infrastructure | Sector Team Head Mr. Ranjan Sibera |  Senior Deputy Director | 24 | +94-11- 2430626 + 94-11-2427086 | +94-11-2346629 | ranjans @boi.lk
5. | Utilities | Sector Team Head M r. L A Wijeweera |  Senior Deputy Director |  24 | +94-11- 2478711 + 94-11-2427399 | +94-11-2346130 | ajithw @boi.lk
6. | Education | Sector Team Head M s. Nilupul de Silva |  Director |  24 | +94-11- 2346345 + 94-11-2427042 | +94-11-2473766 | nilupuls @boi.lk
Sector Group 3 | Sector Group Head Mrs. R. M. Weerakoon |  Executive   Director |  24 | +94-11- 2438972 + 94-11-2427071 | +94-11-2346130 | renukaw @boi.lk
7. | Apparel | Sector Team Head M r. H Seneviratne |  Senior Deputy Director |  24 | +94-11- 2 434342 + 94-11-2427094 | +94-11-2 434342 | senevib @boi.lk
8. | Manufacturing (except Apparel) | Sector Team Head Mr . W U K M A Wijekulatilleke |  Director |  24 | +94-11- 2346626 + 94-11-2427089 | +94-11-2346626 | wijews @boi.lk
9. | Regional Programmes and Export of Services | Sector Team Head M r. N Kumaratunga |  Director |  24 | +94-11- 2346627 + 94-11-2427093 | +94-11-2 346629 | nelsonk @boi.lk","What is the email address for Ms. Nilupul de Silva, the Sector Team Head for Education?",Her email address is nilupuls@boi.lk.,கல்வித் துறைக்கான பிரிவின் தலைவர் திருமதி. நிலூபுல் டி சில்வாவின் மின்னஞ்சல் முகவரி என்ன?,அவரது மின்னஞ்சல் முகவரி nilupuls@boi.lk ஆகும்.,අධ්‍යාපන අංශ කණ්ඩායම් ප්‍රධානියා වන නිලුපුල් ද සිල්වා මහත්මියගේ විද්‍යුත් තැපැල් ලිපිනය කුමක්ද?,ඇයගේ විද්‍යුත් තැපැල් ලිපිනය nilupuls@boi.lk වේ.,41
