question_id,ground_truth,translated_question,r@1,r@3,r@5,r@10,r@15,contexts
14,8-47-1263-3,What are the main components of the training programmes for horticultural crops undertaken by HORDI?,1,1,1,1,1,8-47-1263-3|8-47-1263-2|8-47-1263-1|8-47-1262-2|8-47-1264-2|8-47-1262-1|8-47-1262-3|8-47-1264-3|8-47-1264-1|8-47-1264-4|8-47-1638-1|8-47-1265-2|8-47-1265-1|8-47-1266-1|8-47-1265-3
15,8-47-1768-2,Who should be contacted for information on imports of mobile phones and what is their contact details?,0,0,0,0,0,10-94-2232-2|10-94-2098-2|10-94-2093-1|10-94-2094-2|10-94-2232-3|10-62-837-3|10-94-2102-2|10-94-2097-2|10-57-1287-2|10-62-1276-1|11-66-749-3|11-67-837-2|10-62-1276-4|10-65-415-2|10-65-424-2
16,8-47-1768-1,Who is the appointed officer in charge of carrying out import services?,0,0,0,0,0,10-94-2232-2|10-59-1269-8|10-94-2093-1|10-57-1287-1|10-94-2232-3|10-57-1290-2|10-55-1269-8|10-59-435-1|10-59-435-2|10-55-1275-2|10-94-2092-3|10-57-1278-4|10-57-429-2|10-89-1269-6|10-57-411-1
17,8-47-693-2,"What is the main service provided under the main section of Agriculture, Livestock and Fisheries?",0,0,0,0,0,8-47-1178-1|8-47-1638-1|8-47-1346-2|8-47-1349-2|8-47-692-2|8-47-1780-2|8-46-827-2|8-47-815-2|8-47-1769-2|8-48-1350-1|8-47-1781-3|8-47-1346-1|8-47-1264-1|8-46-827-3|8-47-1263-1
18,8-44-1270-3,"Who is the Executive Director responsible for investment projects in the agricultural sector under the main sections like agriculture, livestock and fisheries and what is his email address?",0,0,1,1,1,8-44-1269-5|8-47-693-2|8-44-1269-6|8-44-1270-3|8-47-1204-1|8-47-1178-1|10-57-1270-3|10-59-1270-3|8-47-1346-2|8-47-817-2|10-62-1272-2|8-47-1263-1|10-62-1269-7|11-67-1269-6|8-47-1638-1
19,8-47-1321-1,What are the fees for registration of seeds and certification of fruit crops under SCPPC Certificate Service?,1,1,1,1,1,8-47-1321-1|8-47-1320-3|8-47-1324-2|8-44-1325-1|8-47-1322-1|8-44-1327-2|8-47-1320-2|8-44-688-2|8-47-1320-1|8-47-1307-1|5-31-1326-1|8-48-1330-1|8-47-1324-1|8-47-1284-2|5-31-1323-1
20,8-48-697-2,"What is the e-mail address of Dr. Harsha Katupitya, Director of Geographic Information Drawing Service?",1,1,1,1,1,8-48-697-2|2-22-1374-2|8-47-693-2|11-67-1117-2|12-95-1118-2|10-94-2232-2|8-48-694-2|10-94-2232-3|1-87-1085-1|4-91-714-2|8-47-699-2|11-67-1115-2|7-43-701-2|10-62-1272-2|2-22-700-5
21,8-47-817-1,What is the fee for getting up to 1-4 tonnes of fertilizer?,1,1,1,1,1,8-47-817-1|8-47-1265-1|8-48-1282-1|8-46-827-3|8-45-1114-1|8-47-1301-1|2-21-605-2|11-66-733-1|2-22-707-2|10-57-1645-2|8-47-1262-1|8-46-1599-2|8-46-826-1|2-22-712-1|8-44-1270-2
22,8-47-1259-1,Who will benefit from the RRDI-Aris service?,0,0,1,1,1,8-47-1254-1|8-47-1252-1|2-21-671-1|8-47-1259-1|5-32-671-1|8-48-1504-2|2-21-670-1|2-22-712-1|7-43-701-2|12-95-1118-1|8-46-827-3|5-32-704-1|10-89-1224-3|2-22-703-1|3-25-2368-2
23,8-47-1776-1,How long will it take to obtain approval for import of chicken meat and chicken meat products?,0,1,1,1,1,8-47-1770-1|8-47-1770-2|8-47-1776-1|8-47-1776-2|8-47-1781-2|8-47-1770-3|8-47-1768-3|8-47-1775-1|8-47-1768-1|8-47-1768-4|8-47-1777-1|8-47-1771-1|8-47-1284-1|8-47-1768-2|8-47-1772-1
24,8-46-827-1,What are the eligibility criteria for farmers or gardens to help improve the productivity of low-productivity export agricultural crops?,1,1,1,1,1,8-46-827-1|8-46-827-2|8-46-826-1|8-48-828-1|8-45-1113-1|8-46-827-3|8-48-828-3|8-47-693-1|8-47-693-2|8-45-1112-1|8-48-1504-1|8-44-1327-1|8-47-1348-1|8-47-1264-1|8-47-699-1
25,8-47-1252-1,Who are the main beneficiaries of the RRDI-Rice service?,0,1,1,1,1,8-47-1254-1|8-47-1252-1|8-47-1259-1|8-47-1258-1|8-47-1222-1|3-25-806-1|7-43-1270-3|7-43-877-1|8-46-827-2|7-43-701-2|8-44-1270-3|2-21-2274-2|10-59-1270-3|11-67-1269-7|11-67-1269-6
26,8-47-1264-1,What is the fee for the Horticulture Advisory Services provided by HORDI?,1,1,1,1,1,8-47-1264-1|8-47-1262-1|8-47-1638-1|8-47-1263-1|8-47-1265-1|8-47-1266-1|8-47-1264-2|8-47-1264-4|8-47-1265-2|8-47-1263-2|8-47-1262-2|8-47-1264-3|8-47-1263-3|8-47-1262-3|8-44-1269-4
27,8-47-699-1,How can I apply for soil protection advice?,0,1,1,1,1,8-47-699-2|5-29-698-1|8-47-699-1|8-45-1113-2|8-48-694-2|8-48-1282-1|8-45-1110-2|10-58-595-1|8-47-1301-1|8-45-1112-2|8-47-1265-1|8-45-1114-2|11-67-1269-8|8-45-1113-3|8-48-687-2
28,8-48-829-1,"What is the nature of the EAC service training programme, its location, duration and facilities?",1,1,1,1,1,8-48-829-1|8-48-1563-2|8-48-829-2|8-48-1563-1|8-48-1505-1|8-48-1459-1|8-47-1344-1|1-16-1103-3|8-48-1514-1|10-94-2102-1|1-16-1103-4|6-37-17-2|8-47-692-2|1-16-773-1|1-16-938-2
29,8-45-563-6,What are the fees for permitting the use of different types of vehicles for carrying wooden sticks and what are the fees for any mode of transportation?,0,0,0,1,1,12-70-1429-1|12-70-1159-3|12-70-1159-1|4-27-464-2|12-70-1429-2|10-65-413-4|10-57-465-1|12-70-1159-2|8-45-563-3|8-45-563-6|12-70-1431-1|2-21-564-7|10-57-433-1|10-65-408-7|8-45-563-5
30,8-47-1264-2,What are the advisory services provided by Horticulture Research and Development Institute (HORDI) to solve the problems of farmers?,1,1,1,1,1,8-47-1264-2|8-47-1264-1|8-47-1264-4|8-47-1638-1|8-47-1264-3|8-47-1265-2|8-47-1263-3|8-47-1263-1|8-47-1263-2|8-47-1262-1|8-47-1262-2|8-47-1265-1|8-48-1280-1|8-47-1262-3|8-47-1266-1
31,8-47-1284-1,What are the fees for obtaining import permit for plant products and where can I obtain the application form?,1,1,1,1,1,8-47-1284-1|8-47-817-1|10-59-435-5|11-68-1216-2|10-57-433-3|10-57-1279-1|8-48-687-1|10-57-428-3|8-45-1113-3|12-70-1429-1|10-57-429-3|8-47-1768-3|10-57-431-3|8-47-1284-3|8-45-1112-1
32,8-47-1206-1,What qualifications do entrepreneurs need in order to get skilled workers?,0,1,1,1,1,6-36-1273-1|1-16-781-1|8-47-1206-1|1-16-619-1|10-55-1275-1|6-35-1274-1|1-16-1103-1|1-16-783-1|10-55-1283-1|1-20-2115-1|1-16-1105-1|10-59-1274-1|6-36-1274-1|1-20-2113-1|1-16-1103-3
33,8-48-1563-1,Who is eligible to apply for Agricultural Training Scheme related to Export Agricultural Crops (EAC),1,1,1,1,1,8-48-1563-1|8-48-829-1|8-47-1344-1|8-48-1563-2|8-48-1505-1|8-44-1327-1|8-48-1459-1|8-47-692-1|8-46-1599-1|6-86-690-1|8-48-690-1|8-48-829-2|8-48-1581-1|8-48-1504-1|6-86-691-2
34,8-44-1327-3,Who is the Chairman of the Centre for Certification of Pox Drug Vendors?,0,0,0,1,1,10-57-920-2|8-47-1782-1|10-57-410-4|8-44-1327-1|1-16-1607-2|8-47-1782-4|8-44-1327-3|8-44-1327-2|10-60-1141-12|10-57-414-1|8-44-688-3|10-57-428-1|10-60-2087-10|10-62-519-1|10-57-1279-3
35,8-47-1770-1,What is the period of service for obtaining approval for import of meat and meat products (except chicken meat)?,1,1,1,1,1,8-47-1770-1|8-47-1776-2|8-47-1770-2|8-47-1776-1|8-47-1770-3|8-47-1768-3|8-47-1768-1|8-47-1768-4|8-47-1775-1|8-47-1777-1|8-47-1774-1|8-47-1771-1|8-47-1773-1|8-47-1774-2|8-47-1772-1
36,8-47-1344-1,Who is eligible for training in AV teaching aids and demonstration technology?,1,1,1,1,1,8-47-1344-1|1-16-783-1|1-16-620-1|1-16-944-2|1-16-944-4|1-16-777-1|1-16-1166-1|1-16-1103-2|8-48-1459-1|6-86-690-1|1-16-782-1|1-16-1105-1|1-16-820-1|1-16-938-2|1-16-1103-1
37,8-47-1307-2,What is the main service of SCPPC-Plant Separation and where are its airports located in Sri Lanka?,0,1,1,1,1,8-47-1307-3|8-47-1307-2|6-37-387-1|6-37-387-2|8-47-1324-2|8-44-1327-2|8-47-1320-3|8-47-1307-1|8-47-1306-1|10-64-650-2|8-48-1308-1|10-65-425-1|5-32-463-3|10-58-597-1|5-31-1326-1
38,8-44-929-2,"What is the approximate time frame for obtaining a licence when applicants submit their application by post for registration service of vendors of weights, scales and weighing or measuring instruments?",0,0,1,1,1,10-88-929-2|10-88-929-1|8-44-929-1|8-44-929-2|10-88-927-3|8-44-927-3|8-44-929-3|10-88-933-2|5-28-933-2|10-55-933-2|10-88-933-4|10-88-932-6|10-57-859-1|5-28-933-4|8-44-927-4
39,8-47-1893-1,What are the requirements for registering the rights of Rapar Estates for land not previously registered under Rapar Control Act?,0,1,1,1,1,2-21-1622-1|8-47-1893-1|2-21-604-1|2-21-599-1|2-21-594-1|10-58-593-3|2-22-712-1|2-21-672-1|10-58-595-1|3-26-1156-5|10-58-593-1|5-29-487-2|10-65-413-6|2-21-598-2|5-32-673-1
40,8-47-1320-3,How much is the seed certification fee for potato crops?,1,1,1,1,1,8-47-1320-3|8-47-1320-2|8-47-1322-1|8-47-1324-2|8-47-1222-1|8-47-1258-1|8-44-1325-1|5-31-1326-1|8-44-1327-2|8-47-1324-1|8-47-1307-1|8-47-1281-2|8-47-1262-1|5-31-1323-1|8-47-1320-1
41,8-44-1269-6,"What is the e-mail address of the Chairperson of the Department of Education, Ms Nilopul De Silva?",0,1,1,1,1,11-67-1269-7|4-97-1478-1|8-44-1269-6|4-91-714-2|10-55-1269-8|10-59-1269-7|10-94-2097-2|7-43-1270-3|10-94-2092-3|10-62-1269-7|1-16-786-1|4-27-653-3|1-16-1423-3|11-67-1269-6|10-57-1270-3
42,8-47-1262-3,What department and company is responsible for providing the cultures and traditions of the Motherland and what is their contact telephone number?,0,0,0,0,0,4-91-714-2|4-97-1601-1|8-47-693-2|12-72-1099-2|10-62-1211-1|10-94-2102-2|10-62-1272-2|4-91-1095-2|4-97-1478-1|10-94-2091-2|5-32-706-2|10-94-2092-3|7-43-701-2|10-94-2098-2|8-47-1265-3
43,8-47-1775-1,"Who is the authority responsible for the approval service for imports of one-day-old chickens, live chickens and other birds, and what is his contact number?",0,1,1,1,1,8-47-1776-2|8-47-1768-4|8-47-1775-1|8-47-1780-2|8-47-1774-2|8-47-1768-1|8-47-1768-2|8-47-1768-3|8-47-1770-2|8-47-1777-1|8-47-1769-2|8-47-1776-1|8-47-1779-1|10-94-2232-2|8-47-1778-1
44,8-47-692-2,Who is the officer in charge of the Agricultural Enterprise Development Training Service and what is the contact details of the other service provider?,1,1,1,1,1,8-47-692-2|8-47-1346-2|8-48-1581-2|8-44-1327-3|8-48-1563-2|8-47-692-1|8-47-693-2|8-48-1350-1|8-48-829-2|8-47-1344-1|8-48-1581-1|10-94-2102-2|8-47-1207-2|8-48-691-3|8-48-1350-2
45,8-48-691-1,How are Central Scholarships for Public Officials in Agriculture awarded and which Department conducts competition tests?,1,1,1,1,1,8-48-691-1|6-86-691-1|8-48-691-3|6-86-691-3|8-48-691-2|8-48-828-3|8-48-690-1|8-48-1459-1|8-47-1348-1|8-47-1638-1|8-47-1301-1|8-48-1282-1|6-86-691-4|8-47-817-1|11-67-1343-1
46,8-47-1781-2,What is the procedure for obtaining Animal Fauna Production Licence after submitting the application and how long is the initial registration period in general?,1,1,1,1,1,8-47-1781-2|8-47-1781-1|8-47-1783-1|8-44-929-2|8-47-1775-1|8-47-1780-1|12-72-1099-1|8-47-1768-1|8-47-1782-3|8-47-815-1|8-47-1781-3|8-47-1776-1|8-47-1768-3|12-70-1144-4|8-47-1769-1
47,8-48-828-4,"What are the main approval requirements before setting up a private processing centre, especially for building construction and equipment procurement?",1,1,1,1,1,8-48-828-4|8-48-828-3|8-46-1599-1|8-46-1599-2|11-67-1645-1|10-57-1290-1|3-26-1156-5|10-57-1645-1|10-57-1285-1|10-55-1288-1|10-62-1272-1|10-57-1279-1|8-48-828-2|11-67-1269-5|10-89-1269-8
48,8-44-688-2,What are the various charges associated with Poochi Kolli Registration Services?,0,0,0,0,0,10-62-1276-2|11-67-1645-2|8-44-929-3|10-57-1645-2|10-57-412-4|10-65-408-7|10-89-1269-5|8-44-1269-4|8-47-1782-3|10-55-1269-5|10-57-414-4|9-54-485-9|10-57-1285-2|10-57-411-3|10-62-1269-5
49,8-45-1113-3,"When submitting an application for trade permit for sand and exportable minerals, what are the essential requirements regarding the application form and possible exceptions?",1,1,1,1,1,8-45-1113-3|8-45-1113-1|8-45-1113-2|1-16-782-3|10-57-1290-3|10-89-1269-8|8-45-1112-2|8-45-1114-2|10-57-1278-5|10-57-1285-3|10-62-1269-8|8-44-1270-4|10-59-1270-4|10-55-1269-9|10-60-524-1
50,8-48-828-1,Which committees are eligible for post-harvest technical investment assistance to set up committee operational centres?,1,1,1,1,1,8-48-828-1|8-48-828-3|8-46-1599-1|8-48-828-2|8-46-827-1|8-46-1599-2|8-48-828-5|8-44-1269-3|8-47-699-1|8-44-1269-5|8-46-826-1|8-44-1269-6|11-67-1269-3|8-47-1263-1|3-25-806-1
51,8-46-826-1,Who is eligible to apply for the Renewable/Renewable Investment Assistance Scheme for export crops?,1,1,1,1,1,8-46-826-1|8-46-827-1|8-45-1113-1|8-46-1599-1|8-48-828-1|8-44-1269-5|3-25-806-1|3-25-806-2|8-44-1327-1|8-45-1112-1|8-46-826-2|8-46-827-3|8-48-828-3|8-47-692-1|8-47-699-1
52,8-47-1204-1,What is the procedure for obtaining land for agricultural purposes and what additional documents are required?,0,0,1,1,1,8-47-693-1|2-21-598-1|2-21-598-3|10-58-593-3|8-47-1204-1|8-45-1113-2|2-21-604-1|2-21-599-1|8-45-1112-2|10-58-595-1|8-47-693-2|2-21-598-2|3-25-806-2|8-46-827-3|8-46-827-1
53,8-48-1280-1,Who are eligible to receive the Field Issue Resolution Service provided by FCRDI?,0,1,1,1,1,8-48-1280-2|8-48-1280-1|8-47-1281-2|8-47-1301-1|8-47-1264-1|8-48-1282-1|8-47-1263-1|8-47-1207-2|8-44-1269-6|8-48-1282-2|11-66-745-2|8-47-1301-2|11-67-1343-1|8-47-1262-1|8-44-1269-5
54,8-47-1281-2,How much does it cost to buy one kilogram of Chola parents?,0,0,1,1,1,4-91-1164-1|3-24-726-1|3-24-801-1|8-47-1281-2|8-46-830-1|7-40-991-1|3-24-801-3|10-62-1276-2|8-46-826-1|3-24-1848-1|3-24-981-1|8-44-927-4|10-88-932-5|5-28-419-1|3-24-801-2
55,8-47-1254-1,What is the name of the company responsible for providing RRDI-ASI services?,0,1,1,1,1,8-47-1252-1|8-47-1254-1|8-47-1259-1|4-91-1095-2|7-43-701-2|10-61-762-3|10-62-1276-4|2-75-669-2|8-47-1222-1|8-47-1258-1|2-22-700-4|7-43-1270-3|11-67-1269-6|10-59-2033-1|8-44-1270-3
56,8-47-1781-3,Who are the officials responsible for licensing the production or import of wildlife and what are their contact details?,0,0,0,1,1,8-47-1768-1|8-47-1768-4|12-72-1099-2|12-72-1099-1|8-47-1774-2|8-47-1768-2|8-47-1768-3|8-47-1781-3|8-47-1770-2|8-47-1780-2|12-72-1102-1|7-43-701-2|12-70-1144-4|8-47-1284-3|10-57-1279-3
57,8-45-563-5,What are the government departments that issue traffic permits for controlled or uncontrolled trees?,0,0,0,1,1,12-70-1159-2|12-70-1159-3|12-70-1159-1|12-70-1427-1|8-45-563-1|12-70-1429-2|8-45-563-6|8-45-563-4|8-45-563-3|8-45-563-5|8-45-563-2|11-68-1216-1|2-22-712-2|2-22-700-6|12-70-1435-1
58,8-47-1771-1,What certificates or documents are required to obtain approval for imports of fish stocks and fishery products?,0,0,0,0,0,10-57-1278-4|8-47-1770-2|8-47-1769-2|8-47-1769-1|3-25-808-3|3-25-808-4|10-57-414-1|10-57-428-1|10-57-1278-2|12-70-622-4|8-47-1773-1|10-57-411-1|8-47-1776-1|10-57-1287-1|3-25-808-2
59,8-48-1562-1,Who is eligible to apply for the blackout training scheme and how can they apply for this service?,0,0,0,0,0,6-86-768-1|12-70-768-1|12-71-1148-1|1-16-1103-2|1-16-1103-3|12-70-1435-1|1-16-1606-1|8-48-829-2|1-16-777-1|8-47-1344-1|8-48-695-1|7-43-877-1|12-92-875-1|2-21-2274-1|6-37-17-2
60,3-25-809-3,What loans will be accepted for Krishi Naodaya loans for agricultural businesses?,0,0,0,1,1,3-25-809-2|3-25-806-1|3-25-2368-1|3-25-806-2|3-25-809-1|3-25-807-2|3-25-2368-4|3-25-2368-2|3-25-809-3|3-25-2368-3|3-25-808-2|3-25-1860-1|3-25-808-1|3-25-812-1|3-25-2368-5
61,3-90-1790-2,What is the main objective of the Construction Trust Fund (CGF)?,1,1,1,1,1,3-90-1790-2|6-35-1790-2|10-61-1790-1|3-90-1790-1|10-61-1790-2|6-35-1790-1|10-61-1790-4|3-90-1790-4|10-61-1790-3|6-35-1790-3|2-75-499-1|2-75-2283-1|10-59-1269-9|3-90-1790-3|2-21-598-3
62,3-24-725-2,How much money can be withdrawn from savings accounts through post offices and sub-post offices?,1,1,1,1,1,3-24-725-2|3-24-724-1|3-24-727-1|3-24-725-1|11-66-718-1|3-24-1857-1|11-66-719-1|3-24-723-1|3-90-805-3|3-24-1836-1|11-66-718-2|11-66-720-1|3-24-1852-1|3-24-1848-1|11-66-717-1
63,3-25-567-3,Who approves the income statement form based on the income level of the applicant?,0,0,0,1,1,2-21-605-1|3-25-844-1|6-38-851-3|3-25-567-1|6-93-842-3|3-25-567-2|10-89-1224-4|3-24-799-3|3-25-567-3|11-66-719-1|6-38-851-2|5-29-487-2|6-38-850-2|3-24-799-2|2-21-670-1
64,3-90-805-3,"If a joint account holder dies, what happens to the amount in that account?",1,1,1,1,1,3-90-805-3|3-90-805-2|6-38-852-1|3-24-1852-1|3-24-1836-1|3-24-799-6|3-24-799-3|3-24-799-1|3-24-725-2|6-38-852-2|3-24-800-1|7-41-512-4|7-43-628-2|3-24-799-4|9-52-584-5
65,3-24-1856-1,What qualifications and documents are required to open Manavi – Ladies’ Savings Account?,1,1,1,1,1,3-24-1856-1|3-24-1852-2|3-24-1836-1|3-24-1857-1|3-24-801-3|3-24-800-1|3-24-800-3|3-24-801-1|3-24-802-1|3-24-803-2|3-24-1848-1|3-24-799-1|3-24-1858-2|3-24-723-1|3-24-801-2
66,3-25-567-4,"What is the eligibility and fee structure for Income Statement Service, and what is the consequence of not submitting sub-documents?",0,0,0,0,0,3-24-724-1|2-21-670-1|5-32-713-1|11-66-719-1|10-89-1224-4|11-66-718-1|3-24-799-2|11-66-736-1|3-25-567-1|3-24-725-1|5-31-730-1|10-89-1224-3|5-31-744-1|2-21-594-2|3-25-807-2
67,3-25-812-1,How much should be the value of the project assets eligible for credit scheme for MSMEs?,1,1,1,1,1,3-25-812-1|3-25-807-1|3-25-807-3|3-25-1860-1|3-25-811-1|3-25-807-2|3-25-808-2|3-25-761-1|3-25-808-3|10-62-1276-2|10-58-593-1|3-25-814-1|10-62-1269-3|10-58-593-3|3-24-799-2
68,3-24-1852-1,"What are the insurance benefits provided with the daily savings account at home, and what is the eligibility and duration of these benefits?",1,1,1,1,1,3-24-1852-1|3-24-1857-1|3-24-1852-2|3-24-1836-1|3-24-1852-3|3-24-1848-1|3-24-801-3|3-24-800-1|3-24-1856-1|3-90-2031-1|3-24-799-1|3-24-801-2|3-24-802-3|3-24-803-2|3-24-800-3
69,3-90-1837-1,Who is the Assistant Director (Management and Development) of Sausiribya Corporation?,1,1,1,1,1,3-90-1837-1|4-91-714-2|10-61-762-3|10-62-1269-7|2-75-2283-2|10-59-1269-7|10-89-1269-7|10-55-1269-8|8-44-1269-6|5-31-2063-1|11-67-1269-7|7-43-701-2|6-36-1273-4|8-44-1327-3|10-59-1269-8
70,3-26-1156-1,Where should I submit completed applications for renewal of Central Coal Licence?,0,0,0,0,0,10-64-586-2|12-70-622-2|10-64-586-1|11-68-931-2|12-70-1144-4|10-55-931-2|12-70-1144-2|10-65-397-1|2-22-700-6|10-65-427-2|10-57-431-2|12-70-1427-2|10-55-931-1|10-65-402-2|10-65-397-3
71,3-24-723-1,What sub-documents are required to open the savings account?,0,0,1,1,1,3-24-1836-1|3-24-803-2|3-24-1852-2|3-24-800-1|3-24-723-1|3-24-800-3|3-24-1857-1|3-24-1856-1|3-24-1836-2|3-24-801-3|3-24-803-3|3-24-1852-3|3-24-803-1|3-24-726-1|3-24-1848-1
72,3-25-1861-2,Which safeguards are acceptable for obtaining personal loans?,1,1,1,1,1,3-25-1861-2|3-25-1861-1|3-25-809-3|3-25-1860-3|3-25-808-3|3-25-1860-4|3-25-806-2|3-25-813-2|3-25-808-4|3-25-1860-1|3-25-807-2|3-25-806-1|6-37-375-7|3-25-2368-1|3-25-807-3
73,3-26-866-1,What is the eligibility criterion for replacing a name or address in an already issued TIN certificate?,1,1,1,1,1,3-26-866-1|3-26-864-2|3-24-799-3|3-26-864-1|5-32-713-1|10-65-393-4|5-31-1131-1|5-29-487-2|10-65-404-2|3-26-864-3|6-37-375-6|11-66-719-1|10-65-402-3|9-50-1561-1|6-93-842-3
74,3-24-799-6,"If the time of expiry in the cheque is not printed, what is the usual time of expiry thereof?",1,1,1,1,1,3-24-799-6|11-66-715-1|10-65-426-3|10-57-411-2|3-26-1156-1|10-57-410-2|10-65-427-3|3-26-1156-8|10-65-415-4|10-57-428-3|10-60-524-2|10-57-412-3|5-31-469-3|10-57-429-3|11-66-736-1
75,3-82-1862-1,What are the main features of car hire facilities?,0,1,1,1,1,11-68-648-1|3-82-1862-1|4-27-649-1|4-27-436-2|4-27-649-2|10-65-420-7|7-39-651-1|10-65-408-2|10-65-420-1|10-65-424-2|4-27-653-1|10-65-420-6|10-65-420-3|10-65-1176-1|10-65-424-5
76,3-25-807-2,What are the eligibility limits for the Comprehensive Credit Scheme (SED) for Small Business Development?,1,1,1,1,1,3-25-807-2|3-25-812-1|3-25-1860-1|3-25-807-3|3-25-806-1|3-25-813-1|3-24-799-2|3-24-1836-2|3-25-811-1|3-25-1861-1|3-24-800-2|3-25-806-2|8-47-692-1|3-25-808-1|3-25-807-1
77,3-24-803-2,What is the approximate time frame for opening accounts for savings certificates or treasury bills?,1,1,1,1,1,3-24-803-2|3-24-1852-3|3-24-803-3|3-24-1836-1|3-24-800-1|3-24-800-3|3-24-1852-2|3-24-799-1|3-24-723-1|3-24-801-3|3-24-803-1|3-24-1848-1|3-24-726-1|3-24-725-1|3-24-801-2
